# S&P 500 Companies by Market Cap
# Ticker,Name,Price

NVDA,Nvidia,191.27
AAPL,Apple Inc.,276.43
MSFT,Microsoft,404.68
AMZN,Amazon,204.62
GOOGL,Alphabet Inc. (Class A),311.20
GOOG,Alphabet Inc. (Class C),311.62
META,Meta Platforms,669.41
AVGO,Broadcom,343.35
TSLA,Tesla Inc.,426.52
BRK.B,Berkshire Hathaway,501.05
WMT,Walmart,128.75
LLY,Lilly (Eli),1014.43
JPM,JPMorgan Chase,311.14
XOM,ExxonMobil,155.28
V,Visa Inc.,329.54
JNJ,Johnson & Johnson,240.70
MA,Mastercard,539.52
MU,Micron Technology,411.25
ORCL,Oracle Corporation,157.08
COST,Costco,979.71
BAC,Bank of America,54.06
ABBV,AbbVie,220.17
HD,Home Depot (The),389.46
PG,Procter & Gamble,159.45
CVX,Chevron Corporation,185.66
CAT,Caterpillar Inc.,773.53
AMD,Advanced Micro Devices,213.00
CSCO,Cisco,85.82
KO,Coca-Cola Company (The),78.51
NFLX,Netflix,79.94
GE,GE Aerospace,314.37
PLTR,Palantir Technologies,135.59
LRCX,Lam Research,236.60
MRK,Merck & Co.,118.79
PM,Philip Morris International,185.99
GS,Goldman Sachs,949.29
MS,Morgan Stanley,176.86
WFC,Wells Fargo,89.07
AMAT,Applied Materials,342.19
RTX,RTX Corporation,197.56
IBM,IBM,273.86
UNH,UnitedHealth Group,278.79
AXP,American Express,355.18
INTC,Intel,47.85
TMUS,T-Mobile US,207.62
PEP,PepsiCo,168.71
MCD,McDonald's,323.50
GEV,GE Vernova,822.50
LIN,Linde plc,466.04
C,Citigroup,117.93
TXN,Texas Instruments,226.34
VZ,Verizon,48.55
T,AT&T,28.21
TMO,Thermo Fisher Scientific,525.00
AMGN,Amgen,364.77
ABT,Abbott Laboratories,112.97
KLAC,KLA Corporation,1492.27
GILD,Gilead Sciences,155.71
DIS,Walt Disney Company (The),108.30
NEE,NextEra Energy,91.19
BA,Boeing,236.98
ANET,Arista Networks,141.06
APH,Amphenol,144.60
ISRG,Intuitive Surgical,496.14
CRM,Salesforce,184.94
SCHW,Charles Schwab Corporation,95.50
BLK,BlackRock,1083.35
TJX,TJX Companies,150.56
DE,Deere & Company,610.03
ADI,Analog Devices,336.71
LOW,Lowe's,286.57
PFE,Pfizer,27.77
UNP,Union Pacific Corporation,261.95
DHR,Danaher Corporation,219.80
APP,AppLovin Corporation,459.27
HON,Honeywell,243.56
